"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2025-01-01",1,21036,26215,19918,5405,6606,0,19180,0,859,6353,-1518,-1026,1,-232,-386,-558,96,0,241,0
"2025-01-01",2,21222,26063,20167,5358,6606,0,19180,0,735,6333,-1513,-1023,1,-124,-282,-564,51,0,262,0
"2025-01-01",3,21385,25734,20328,5237,6606,0,19180,0,691,6380,-1428,-922,1,-119,-384,-205,62,0,414,0
"2025-01-01",4,20473,24988,19460,5115,6606,0,19180,0,931,6250,-1423,-915,0,-119,-334,-193,37,0,423,0
"2025-01-01",5,19634,24912,18654,5080,6606,0,19180,0,854,6142,-1539,-899,0,-119,-363,-622,-282,0,288,0
"2025-01-01",6,19214,24562,18248,5044,6606,0,19180,0,880,6338,-1543,-899,1,-119,-345,-640,-322,0,273,0
"2025-01-01",7,18874,24258,17855,4972,6606,0,19180,0,777,6549,-1467,-924,0,-119,-390,-777,-330,0,147,0
"2025-01-01",8,18448,24015,17367,4900,6606,0,19180,0,914,6540,-1465,-928,0,-119,-413,-782,-346,0,127,0
"2025-01-01",9,17844,24100,16774,4815,6606,0,19180,0,914,6586,-1541,-1021,1,-119,-412,-855,-538,0,-256,0
"2025-01-01",10,17545,23924,16489,4730,6606,0,19180,0,901,6263,-1546,-1027,1,-119,-465,-858,-581,0,-282,0
"2025-01-01",11,17383,23985,16289,4594,6606,0,19180,0,910,6011,-1546,-1026,1,-119,-498,-793,-826,0,-284,0
"2025-01-01",12,17609,24064,16498,4457,6606,0,19180,0,903,5999,-1546,-1026,1,-119,-358,-788,-832,0,-283,0
"2025-01-01",13,18620,24067,17411,4314,6606,0,19180,0,898,5977,-1546,-1028,0,-119,-207,-349,-531,0,-169,0
"2025-01-01",14,18757,23989,17485,4171,6606,0,19180,0,898,5861,-1545,-1013,0,-119,-89,-327,-490,0,-151,0
"2025-01-01",15,19371,23563,18095,4254,6606,0,19180,0,900,5384,-1478,-460,1,-119,-189,133,-446,0,192,0
"2025-01-01",16,19466,23572,18171,4336,6606,0,19180,0,889,4989,-1467,-423,0,-119,-198,154,-410,0,217,0
"2025-01-01",17,20047,23638,18688,4600,6606,0,19180,0,887,4826,-1144,-474,1,-121,-333,437,-32,0,260,0
"2025-01-01",18,20771,24373,19399,4864,6606,1,19180,0,804,5254,-1107,-463,1,-220,-408,447,45,0,281,0
"2025-01-01",19,22290,25010,20754,4849,6606,29,19180,0,875,5440,-425,74,1,-300,-520,167,419,0,897,0
"2025-01-01",20,23225,25784,21697,4833,6606,117,19180,0,754,5528,-375,122,0,-300,-530,163,495,0,938,0
"2025-01-01",21,24685,26796,23023,4715,6606,224,19180,0,680,5158,53,507,0,-300,-531,710,867,0,885,0
"2025-01-01",22,25327,27582,23550,4597,6606,328,19180,0,755,4961,121,545,0,-369,-531,736,943,0,883,0
"2025-01-01",23,26995,29359,25023,4448,6606,374,19180,0,783,4687,1354,963,0,-450,-531,1008,1317,0,982,0
"2025-01-01",24,27723,29852,25618,4298,6606,435,19180,0,577,4686,1461,992,0,-445,-507,1019,1366,0,989,0
"2025-01-01",25,28785,30144,26600,4270,6606,474,19180,0,18,4841,1508,991,1,-369,-372,1019,1394,0,985,0
"2025-01-01",26,29386,30688,27073,4241,6606,474,19180,0,5,4859,1511,991,0,-443,-254,1019,1397,0,985,0
"2025-01-01",27,29865,31056,27517,4007,6606,505,19180,0,5,5239,1511,992,1,-451,-135,1019,1397,0,985,0
"2025-01-01",28,29858,31145,27419,3772,6606,503,19180,0,9,4910,1510,991,0,-450,-228,1019,1397,0,985,0
"2025-01-01",29,29999,31271,27504,3541,6606,349,19180,0,9,4839,1511,992,1,-449,-214,1000,1397,0,985,0
"2025-01-01",30,30406,31648,27807,3310,6606,196,19180,0,9,4444,1510,991,1,-383,-250,999,1397,0,985,0
"2025-01-01",31,30780,32235,28104,3140,6606,70,19180,0,10,4077,1510,991,1,-445,-400,999,1397,0,985,0
"2025-01-01",32,31036,32569,28258,2969,6606,5,19180,0,19,3733,1511,991,1,-450,-464,1000,1397,0,985,0
"2025-01-01",33,32260,33833,29332,2734,6606,0,19180,0,13,3680,1510,991,0,-450,-510,999,1397,0,985,0
"2025-01-01",34,33636,35226,30573,2499,6606,0,19180,0,10,3612,1511,991,1,-450,-530,999,1397,0,985,0
"2025-01-01",35,34021,35612,30977,2340,6606,0,19180,0,11,3637,1510,991,0,-450,-530,999,1397,0,985,0
"2025-01-01",36,34014,35605,31045,2181,6606,0,19180,0,10,3797,1510,992,1,-450,-531,999,1397,0,985,0
"2025-01-01",37,33569,35157,30715,2081,6606,0,19180,0,7,3923,1510,991,1,-450,-531,999,1397,0,985,0
"2025-01-01",38,32966,34558,30142,1980,6606,0,19180,0,11,3926,1510,991,0,-450,-531,999,1397,0,985,0
"2025-01-01",39,32273,33867,29570,1882,6606,0,19180,0,13,3810,1511,992,0,-450,-531,999,1397,0,985,0
"2025-01-01",40,31660,33255,28965,1783,6606,0,19180,0,15,3816,1510,991,1,-450,-530,999,1397,0,985,0
"2025-01-01",41,31110,32704,28445,1730,6606,0,19180,0,16,3777,1510,992,1,-450,-528,999,1397,0,985,0
"2025-01-01",42,29907,31503,27382,1676,6606,0,19180,0,17,3632,1510,991,0,-450,-529,999,1397,0,985,0
"2025-01-01",43,28916,30510,26484,1631,6606,0,19180,0,16,3728,1511,992,1,-450,-528,999,1397,0,985,0
"2025-01-01",44,27676,29268,25340,1586,6606,0,19180,0,13,3931,1510,992,1,-450,-529,999,1397,0,985,0
"2025-01-01",45,26773,28361,24526,1526,6606,0,19180,0,9,3934,1510,992,1,-450,-529,999,1397,0,985,0
"2025-01-01",46,25523,27087,23266,1466,6606,0,19180,0,8,3969,1511,991,1,-427,-529,999,1397,0,985,0
"2025-01-01",47,24513,25957,22276,1460,6606,0,19180,0,9,4138,1511,992,1,-364,-471,999,1397,0,985,0
"2025-01-01",48,23688,25042,21513,1453,6606,0,19180,0,9,4151,1511,992,0,-270,-475,999,1397,0,985,0
"2025-01-02",1,23560,24740,21449,1512,6606,0,19180,0,5,4278,1511,991,1,-231,-344,999,1397,0,985,0
"2025-01-02",2,24268,25354,22173,1571,6606,0,19180,0,8,4332,1511,992,1,-288,-190,999,1397,0,985,0
"2025-01-02",3,23892,24943,21806,1595,6606,0,19180,0,8,4091,1511,992,0,-274,-169,999,1397,0,985,0
"2025-01-02",4,23178,24364,21180,1619,6606,0,19180,0,28,3867,1512,992,1,-279,-279,999,1397,0,985,0
"2025-01-02",5,22879,24317,20877,1638,6606,0,19180,0,57,3997,1512,992,1,-351,-430,999,1397,0,985,0
"2025-01-02",6,22398,23904,20476,1656,6606,0,19180,0,45,4003,1512,992,0,-334,-527,999,1397,0,985,0
"2025-01-02",7,22024,23942,20043,1665,6606,0,19180,0,473,3941,1512,992,0,-316,-529,999,1397,0,985,0
"2025-01-02",8,21955,23983,19939,1673,6606,0,19180,0,595,3963,1512,992,0,-303,-530,999,1397,0,991,0
"2025-01-02",9,21955,23958,19995,1643,6606,0,19180,0,574,3845,1513,992,0,-300,-529,980,1397,0,1210,0
"2025-01-02",10,21857,24159,19935,1612,6606,0,19180,0,873,3837,1513,990,1,-300,-529,979,1397,0,1229,0
"2025-01-02",11,22329,24630,20405,1675,6606,0,19180,0,867,3774,1484,917,0,-303,-531,875,1397,0,1409,0
"2025-01-02",12,22843,25095,20897,1737,6606,0,19180,0,828,3951,1483,914,0,-315,-509,851,1398,0,1421,0
"2025-01-02",13,24594,26028,22627,1742,6606,0,19180,0,115,4087,1465,986,0,-344,-375,32,1397,0,1377,0
"2025-01-02",14,26502,27766,24455,1746,6606,0,19180,0,15,4108,1449,978,0,-391,-222,-36,1397,0,1373,0
"2025-01-02",15,28122,30168,26011,1758,6606,0,19180,0,15,4207,918,478,0,-409,-185,-837,1397,0,1329,0
"2025-01-02",16,29851,32003,27656,1770,6606,0,19180,0,18,4403,893,453,0,-363,-308,-863,1397,0,1328,0
"2025-01-02",17,32523,34049,30220,1739,6606,1,19180,0,15,4180,1458,770,0,-442,-458,-11,1397,0,1417,0
"2025-01-02",18,33490,35021,31174,1708,6606,275,19180,0,14,4170,1489,796,1,-450,-467,62,1397,0,1425,0
"2025-01-02",19,34501,36093,31981,1658,6606,1266,19180,0,17,3751,1510,979,0,-450,-525,893,1397,0,1426,0
"2025-01-02",20,34671,36268,31959,1607,6606,2439,19180,0,16,3443,1511,992,0,-450,-531,940,1397,0,1426,0
"2025-01-02",21,34278,35870,31546,1516,6606,3513,19180,0,11,3429,1513,992,0,-450,-531,442,1397,0,1426,0
"2025-01-02",22,33808,35402,30965,1425,6606,4439,19180,0,13,3263,1511,991,0,-450,-531,415,1397,0,1426,0
"2025-01-02",23,33334,35001,30514,1403,6606,5056,19180,0,12,3430,1376,992,0,-450,-531,-74,1397,0,1426,0
"2025-01-02",24,33213,34887,30342,1381,6606,5442,19180,0,12,3335,1368,992,0,-450,-531,-81,1397,0,1426,0
"2025-01-02",25,33732,35328,30769,1420,6606,5562,19180,0,15,3295,1389,992,0,-450,-531,667,1397,0,1426,0
"2025-01-02",26,33863,35454,30830,1459,6606,5428,19180,0,12,3275,1377,987,0,-448,-531,709,1397,0,1426,0
"2025-01-02",27,33726,35320,30758,1431,6606,5047,19180,0,13,3184,1238,807,0,-450,-531,624,1397,0,1426,0
"2025-01-02",28,33837,35431,30854,1402,6606,4344,19180,0,13,3164,1230,793,0,-450,-531,618,1397,0,1417,0
"2025-01-02",29,34305,35901,31344,1406,6606,3449,19180,0,14,3185,1240,746,0,-451,-531,184,1397,0,1080,0
"2025-01-02",30,35371,36964,32361,1409,6606,2292,19180,0,12,3183,1240,740,0,-450,-531,171,1397,0,1059,0
"2025-01-02",31,36920,38504,33850,1451,6606,982,19180,0,3,2936,1209,632,0,-450,-531,702,1397,0,1164,0
"2025-01-02",32,38264,39850,35185,1492,6606,147,19180,0,5,3493,1210,634,0,-450,-531,727,1397,0,1172,0
"2025-01-02",33,39309,40894,36045,1610,6606,0,19180,0,4,3348,1425,946,0,-450,-531,986,1397,0,1199,0
"2025-01-02",34,40412,41996,37152,1728,6606,0,19180,0,3,3148,1436,968,0,-450,-531,996,1397,0,1207,0
"2025-01-02",35,41103,42690,37714,1697,6606,0,19180,0,6,3044,1497,990,0,-450,-531,999,1397,0,1407,0
"2025-01-02",36,41589,43177,38017,1666,6606,0,19180,0,7,3759,1500,991,0,-450,-531,999,1397,0,1421,0
"2025-01-02",37,41707,43293,38123,1655,6606,0,19180,0,5,3907,1500,991,0,-450,-531,990,1397,0,1421,0
"2025-01-02",38,41274,42861,37866,1643,6606,0,19180,0,6,3996,1500,991,0,-450,-531,989,1397,0,1421,0
"2025-01-02",39,40726,42313,37470,1630,6606,0,19180,0,6,3721,1500,991,0,-450,-531,999,1397,0,1421,0
"2025-01-02",40,39329,40919,36164,1616,6606,0,19180,0,9,3848,1500,991,0,-450,-531,999,1397,0,1421,0
"2025-01-02",41,37688,39278,34646,1719,6606,0,19180,0,9,3918,1500,991,0,-450,-531,999,1397,0,1421,0
"2025-01-02",42,36225,37815,33360,1821,6606,0,19180,0,9,3755,1500,991,0,-450,-531,999,1397,0,1421,0
"2025-01-02",43,34665,36255,31988,1886,6606,0,19180,0,9,4041,1500,974,0,-450,-531,996,1397,0,1421,0
"2025-01-02",44,32999,34589,30513,1950,6606,0,19180,0,9,4152,1499,973,0,-450,-531,994,1397,0,1421,0
"2025-01-02",45,31220,32810,28968,2081,6606,0,19180,0,9,4060,1429,973,0,-450,-531,578,1397,0,1421,0
"2025-01-02",46,29654,31248,27557,2211,6606,0,19180,0,13,4258,1413,963,1,-450,-531,562,1397,0,1421,0
"2025-01-02",47,28245,29777,26285,2361,6606,0,19180,0,13,4711,919,620,0,-450,-469,933,1397,0,1421,0
"2025-01-02",48,27085,28656,25313,2510,6606,0,19180,0,12,4987,887,597,0,-450,-509,948,1397,0,1421,0
"2025-01-03",1,27266,28874,25564,2611,6606,0,19180,0,27,5117,825,620,0,-450,-531,986,1397,0,1421,0
"2025-01-03",2,27226,28870,25674,2711,6606,0,19180,0,63,5345,833,625,0,-450,-531,987,1397,0,1421,0
"2025-01-03",3,26927,29029,25355,2756,6606,0,19180,0,521,5297,1428,739,1,-450,-531,944,1397,0,1421,0
"2025-01-03",4,26325,28492,24800,2801,6606,0,19180,0,623,5438,1452,744,1,-413,-531,942,1397,0,1421,0
"2025-01-03",5,25800,27927,24312,2763,6606,0,19180,0,628,5608,982,649,0,-368,-531,935,1397,0,1421,0
"2025-01-03",6,25401,27648,23968,2724,6606,0,19180,0,748,5486,957,640,0,-368,-531,926,1397,0,1421,0
"2025-01-03",7,25295,27492,23683,2685,6606,0,19180,0,698,5360,1200,551,1,-368,-531,308,1397,0,1421,0
"2025-01-03",8,24732,27118,23100,2646,6606,0,19180,0,887,5173,1200,537,0,-368,-531,275,1397,0,1421,0
"2025-01-03",9,24209,26661,22563,2629,6606,0,19180,0,885,4914,593,263,1,-368,-531,-68,1397,0,1421,0
"2025-01-03",10,24176,26622,22464,2611,6606,0,19180,0,882,4743,545,241,0,-368,-515,-81,1397,0,1421,0
"2025-01-03",11,24309,26543,22554,2469,6606,0,19180,0,693,4448,-56,123,1,-327,-387,-171,1397,0,1421,0
"2025-01-03",12,25118,26940,23231,2327,6606,0,19180,0,370,4116,-87,109,0,-277,-314,-174,1397,0,1421,0
"2025-01-03",13,27099,29143,25150,2262,6606,0,19180,0,300,4105,-262,-110,1,-254,-182,-336,1397,0,1421,0
"2025-01-03",14,28893,30805,26781,2196,6606,0,19180,0,31,3680,-266,-119,1,-294,-260,-342,1397,0,1421,0
"2025-01-03",15,31418,33025,29027,2105,6606,0,19180,0,15,3619,73,83,1,-428,-411,-153,1397,0,1421,0
"2025-01-03",16,33344,35081,30742,2014,6606,0,19180,0,15,3736,130,108,1,-450,-525,-147,1397,0,1421,0
"2025-01-03",17,35563,37319,32728,1966,6606,2,19180,0,14,3619,811,506,1,-450,-531,-161,1397,0,1421,0
"2025-01-03",18,36753,38473,33742,1917,6606,272,19180,0,11,3533,869,545,0,-450,-531,-128,1397,0,1421,0
"2025-01-03",19,37768,39362,34591,1808,6606,1217,19180,0,13,3224,1392,963,0,-450,-531,859,1397,0,1421,0
"2025-01-03",20,37437,39032,34234,1699,6606,2367,19180,0,13,3267,1426,990,1,-451,-531,928,1397,0,1421,0
"2025-01-03",21,37434,39029,34104,1571,6606,3487,19180,0,13,2918,1497,918,1,-451,-531,1009,1397,0,1421,0
"2025-01-03",22,36678,38273,33371,1442,6606,4371,19180,0,13,2830,1501,912,1,-451,-531,1012,1398,0,1421,0
"2025-01-03",23,36200,37795,32860,1393,6606,4909,19180,0,13,2783,1500,852,1,-451,-531,1009,1397,0,1421,0
"2025-01-03",24,35967,37561,32549,1344,6606,5182,19180,0,12,2576,1500,852,1,-451,-531,1009,1397,0,1421,0
"2025-01-03",25,35986,37578,32537,1319,6606,5182,19180,0,10,2361,1500,983,0,-451,-531,1018,1397,0,1421,0
"2025-01-03",26,35785,37377,32368,1294,6606,5052,19180,0,10,1921,1501,992,1,-451,-531,1018,1397,0,1421,0
"2025-01-03",27,35739,37331,32307,1161,6606,4597,19180,0,10,2118,1501,992,1,-451,-531,1014,1398,0,1421,0
"2025-01-03",28,36027,37621,32553,1027,6606,3923,19180,0,12,1790,1499,992,1,-451,-531,1013,1397,0,1421,0
"2025-01-03",29,36394,37989,32956,949,6606,3108,19180,0,13,1895,1429,992,0,-451,-531,967,1397,0,1421,0
"2025-01-03",30,37281,38876,33764,870,6606,2006,19180,0,13,1719,1427,992,1,-451,-531,965,1397,0,1421,0
"2025-01-03",31,38831,40427,35278,804,6606,864,19180,0,14,1790,1497,992,0,-451,-531,949,1397,0,1421,0
"2025-01-03",32,39451,41050,35884,738,6606,147,19180,0,17,1287,1501,992,0,-451,-531,948,1397,0,1421,0
"2025-01-03",33,40286,41884,36541,661,6606,0,19180,0,16,960,1501,992,0,-451,-531,984,1397,0,1421,0
"2025-01-03",34,41932,43517,38083,584,6606,0,19180,0,3,1404,1501,992,1,-451,-531,985,1397,0,1421,0
"2025-01-03",35,42419,44006,38382,544,6606,0,19180,0,5,1114,1501,992,1,-451,-531,999,1398,0,1422,0
"2025-01-03",36,42028,43615,38044,504,6606,0,19180,0,5,969,1501,991,0,-451,-531,999,1397,0,1421,0
"2025-01-03",37,41300,42888,37466,468,6606,0,19180,0,6,990,1501,991,0,-451,-531,997,1397,0,1421,0
"2025-01-03",38,40957,42545,37145,431,6606,0,19180,0,6,1070,1501,992,0,-451,-531,997,1397,0,1422,0
"2025-01-03",39,40127,41715,36439,433,6606,0,19180,0,6,1241,1501,992,1,-451,-531,990,1397,0,1422,0
"2025-01-03",40,39311,40899,35641,434,6606,0,19180,0,6,1288,1501,992,0,-451,-531,989,1397,0,1421,0
"2025-01-03",41,37960,39553,34425,438,6606,0,19180,0,11,1105,1501,992,1,-451,-531,999,1397,0,1421,0
"2025-01-03",42,36900,38493,33460,441,6606,0,19180,0,11,1044,1500,992,0,-451,-531,999,1398,0,1422,0
"2025-01-03",43,35577,37174,32283,446,6606,0,19180,0,15,988,1436,991,0,-451,-531,845,1397,0,1421,0
"2025-01-03",44,34433,36028,31290,450,6606,0,19180,0,13,1163,1432,991,0,-451,-531,838,1397,0,1419,0
"2025-01-03",45,32521,34113,29554,454,6606,0,19180,0,10,1486,1452,990,1,-451,-531,467,1398,0,1418,0
"2025-01-03",46,30997,32588,28108,457,6606,0,19180,0,9,1588,1452,990,1,-451,-531,458,1397,0,1418,0
"2025-01-03",47,29307,30898,26563,464,6606,0,19180,0,9,1253,1497,991,0,-451,-531,964,1397,0,1419,0
"2025-01-03",48,28361,29953,25707,471,6606,0,19180,0,10,1132,1499,991,0,-451,-531,987,1397,0,1419,0
"2025-01-04",1,28400,29925,25787,512,6606,0,19180,0,12,1256,1501,991,1,-383,-530,999,1398,0,1421,0
"2025-01-04",2,28632,30004,26112,552,6606,0,19180,0,12,1941,1501,991,0,-233,-527,999,1397,0,1419,0
"2025-01-04",3,28079,29349,25646,563,6606,0,19180,0,10,1999,1501,991,1,-129,-531,997,1397,0,1276,0
"2025-01-04",4,27235,28500,24894,573,6606,0,19180,0,9,1665,1501,991,0,-125,-531,999,1398,0,1259,0
"2025-01-04",5,26624,27891,24371,629,6606,0,19180,0,12,1765,1501,991,0,-124,-531,999,1397,0,1006,0
"2025-01-04",6,26271,27804,24010,685,6606,0,19180,0,278,1760,1501,990,1,-124,-531,999,1398,0,987,0
"2025-01-04",7,26216,27830,23971,727,6606,0,19180,0,359,1770,1501,972,0,-124,-531,999,1397,0,987,0
"2025-01-04",8,25663,27525,23402,769,6606,0,19180,0,607,1640,1499,960,1,-124,-531,999,1398,0,987,0
"2025-01-04",9,24721,26603,22518,734,6606,0,19180,0,627,1959,1272,576,1,-124,-531,743,1397,0,960,0
"2025-01-04",10,24352,26231,22164,698,6606,0,19180,0,624,2298,1255,541,0,-124,-531,732,1397,0,944,0
"2025-01-04",11,24419,26302,22271,699,6606,0,19180,0,628,2637,946,226,1,-124,-531,335,1397,0,438,0
"2025-01-04",12,25043,26666,22809,699,6606,0,19180,0,368,2819,923,205,1,-124,-531,320,1397,0,399,0
"2025-01-04",13,25909,27187,23640,710,6606,0,19180,0,106,2766,747,221,1,-124,-448,344,1397,0,253,0
"2025-01-04",14,26653,27726,24312,720,6606,0,19180,0,9,2628,735,226,1,-125,-339,344,1397,0,243,0
"2025-01-04",15,27857,28966,25424,722,6606,0,19180,0,9,2491,693,382,1,-220,-280,13,1397,0,233,0
"2025-01-04",16,28832,30372,26318,723,6606,0,19180,0,154,2463,684,389,1,-371,-415,2,1398,0,232,0
"2025-01-04",17,30317,31955,27681,756,6606,0,19180,0,63,2449,354,258,1,-450,-525,413,1397,0,215,0
"2025-01-04",18,31610,33198,28878,788,6606,37,19180,0,6,2282,346,257,1,-451,-531,431,1398,0,221,0
"2025-01-04",19,33487,35075,30576,789,6606,225,19180,0,6,2048,962,532,0,-451,-531,649,1397,0,509,0
"2025-01-04",20,34269,35857,31246,789,6606,505,19180,0,6,2208,997,558,0,-451,-531,658,1397,0,533,0
"2025-01-04",21,35075,36663,31953,733,6606,820,19180,0,6,2287,874,774,1,-451,-531,920,1397,0,666,0
"2025-01-04",22,35445,37033,32287,676,6606,1089,19180,0,6,2184,856,790,0,-451,-531,930,1397,0,680,0
"2025-01-04",23,35500,37088,32297,673,6606,1344,19180,0,6,2364,256,806,0,-451,-531,901,1398,0,880,0
"2025-01-04",24,35585,37173,32322,669,6606,1477,19180,0,6,2445,240,811,0,-451,-531,899,1397,0,906,0
"2025-01-04",25,36515,38103,33121,680,6606,1539,19180,0,6,2602,1048,960,0,-451,-531,923,1397,0,1366,0
"2025-01-04",26,36743,38331,33348,691,6606,1381,19180,0,6,2600,1102,967,0,-451,-531,923,1397,0,1390,0
"2025-01-04",27,36626,38217,33265,731,6606,1068,19180,0,9,2472,1269,889,0,-451,-531,955,1397,0,995,0
"2025-01-04",28,36575,38168,33218,771,6606,836,19180,0,11,2476,1281,885,1,-451,-531,956,1397,0,968,0
"2025-01-04",29,36866,38459,33446,840,6606,591,19180,0,11,2659,1492,928,0,-451,-531,931,1397,0,968,0
"2025-01-04",30,36882,38476,33463,908,6606,313,19180,0,12,2779,1501,932,1,-451,-531,929,1397,0,968,0
"2025-01-04",31,37036,38622,33615,971,6606,108,19180,0,4,2354,1502,987,1,-451,-531,965,1398,0,985,0
"2025-01-04",32,37250,38833,33769,1034,6606,4,19180,0,3,2128,1500,988,1,-451,-529,966,1397,0,986,0
"2025-01-04",33,37943,39484,34370,1140,6606,0,19180,0,4,2016,1434,873,0,-451,-486,984,1397,0,986,0
"2025-01-04",34,39070,40659,35408,1245,6606,0,19180,0,7,2035,1432,868,0,-451,-531,985,1397,0,986,0
"2025-01-04",35,40032,41618,36321,1291,6606,0,19180,0,4,1981,1497,983,0,-451,-531,999,1397,0,986,0
"2025-01-04",36,40185,41770,36469,1337,6606,0,19180,0,3,1798,1501,991,0,-451,-531,999,1397,0,986,0
"2025-01-04",37,39901,41456,36243,1454,6606,0,19180,0,5,1622,1500,992,1,-451,-499,992,1397,0,986,0
"2025-01-04",38,39454,40918,35786,1570,6606,0,19180,0,5,1226,1497,990,0,-450,-409,991,1397,0,984,0
"2025-01-04",39,38285,39541,34699,1633,6606,0,19180,0,10,1212,1404,921,0,-387,-259,975,1397,0,900,0
"2025-01-04",40,37352,38510,33819,1696,6606,0,19180,0,10,1159,1401,915,1,-442,-106,975,1397,0,894,0
"2025-01-04",41,35920,36906,32486,1728,6606,0,19180,0,6,1165,1494,833,0,-377,-3,943,1397,0,888,0
"2025-01-04",42,34918,35774,31606,1760,6606,0,19180,0,8,1336,1496,829,0,-248,0,943,1397,0,888,0
"2025-01-04",43,33551,34402,30380,1776,6606,0,19180,0,8,1170,1326,872,1,-243,0,988,1397,0,924,0
"2025-01-04",44,32268,33215,29214,1792,6606,0,19180,0,8,1073,1320,878,0,-339,0,990,1397,0,930,0
"2025-01-04",45,30801,31753,27864,1789,6606,0,19180,0,8,1176,1490,984,0,-344,0,999,1397,0,918,0
"2025-01-04",46,29193,30178,26366,1785,6606,0,19180,0,8,1273,1500,991,1,-377,0,999,1397,0,918,0
"2025-01-04",47,27938,29048,25214,1864,6606,0,19180,0,9,1422,1500,991,0,-437,-64,999,1397,0,980,0
"2025-01-04",48,26908,28116,24253,1942,6606,0,19180,0,9,1388,1501,991,0,-442,-157,999,1397,0,987,0
"2025-01-05",1,26809,27778,24135,2004,6606,0,19180,0,9,1366,1501,991,0,-325,-35,999,1397,0,1012,0
"2025-01-05",2,27119,27904,24555,2066,6606,0,19180,0,9,1672,1500,992,0,-176,0,999,1397,0,1014,0
"2025-01-05",3,26608,27267,24133,2086,6606,0,19180,0,10,1881,1500,992,1,-49,0,999,1397,0,992,0
"2025-01-05",4,25955,26608,23508,2106,6606,0,19180,0,9,1775,1500,992,0,-31,-13,999,1397,0,990,0
"2025-01-05",5,25272,26223,22897,2116,6606,0,19180,0,70,1198,1500,992,0,-173,-108,999,1397,0,990,0
"2025-01-05",6,24769,25921,22415,2125,6606,0,19180,0,242,534,1500,992,0,-290,-20,999,1397,0,989,0
"2025-01-05",7,24336,25621,21981,2135,6606,0,19180,0,385,72,1500,992,1,-300,0,999,1397,0,970,0
"2025-01-05",8,23891,25474,21510,2144,6606,0,19180,0,679,-203,1500,992,0,-300,-4,999,1397,0,968,0
"2025-01-05",9,23436,25323,21100,2172,6606,0,19180,0,913,-294,1500,992,0,-300,-74,999,1397,0,981,0
"2025-01-05",10,23115,24873,20806,2199,6606,0,19180,0,851,-376,1500,992,0,-300,-7,999,1397,0,975,0
"2025-01-05",11,22992,24594,20735,2308,6606,0,19180,0,675,-205,1501,992,1,-300,-27,912,1397,0,689,0
"2025-01-05",12,23001,24744,20796,2417,6606,0,19180,0,843,-19,1501,992,0,-300,0,908,1397,0,676,0
"2025-01-05",13,23592,25372,21345,2444,6606,0,19180,0,837,2,1501,992,1,-300,-43,996,1397,0,965,0
"2025-01-05",14,24112,25512,21830,2471,6606,0,19180,0,572,-48,1501,992,0,-225,-3,999,1398,0,985,0
"2025-01-05",15,24744,25893,22356,2414,6606,0,19180,0,303,61,1501,992,0,-246,0,859,1397,0,985,0
"2025-01-05",16,25466,26435,23003,2357,6606,0,19180,0,220,237,1501,992,1,-149,0,836,1397,0,993,0
"2025-01-05",17,26633,27371,24057,2496,6606,0,19180,0,18,355,1502,992,0,-120,0,47,1397,0,1281,0
"2025-01-05",18,28517,29236,25715,2634,6606,0,19180,0,25,623,1502,992,1,-94,0,0,1397,0,1304,0
"2025-01-05",19,30076,31158,27250,2585,6606,15,19180,0,81,498,1503,992,0,-244,-8,-149,1397,0,1412,0
"2025-01-05",20,31443,32586,28461,2536,6606,79,19180,0,11,684,1503,992,1,-378,0,-154,1397,0,1421,0
"2025-01-05",21,32760,33788,29662,2463,6606,185,19180,0,9,731,1502,992,1,-344,0,-75,1397,0,1421,0
"2025-01-05",22,33815,34954,30656,2389,6606,323,19180,0,8,695,1502,991,1,-439,-53,-39,1397,0,1421,0
"2025-01-05",23,34819,36023,31682,2241,6606,428,19180,0,7,496,1500,992,1,-450,-147,949,1397,0,1421,0
"2025-01-05",24,35411,36684,32222,2093,6606,518,19180,0,8,431,1500,991,1,-450,-215,1019,1397,0,1421,0
"2025-01-05",25,36109,37438,32766,2094,6606,594,19180,0,5,277,1500,992,0,-450,-274,1019,1397,0,1421,0
"2025-01-05",26,36636,37927,33228,2094,6606,582,19180,0,10,519,1500,992,1,-450,-231,1019,1397,0,1421,0
"2025-01-05",27,36789,37981,33344,2140,6606,584,19180,0,10,683,1500,992,1,-450,-132,1019,1397,0,1421,0
"2025-01-05",28,36534,37685,33093,2185,6606,467,19180,0,9,783,1500,992,1,-450,-92,1019,1397,0,1421,0
"2025-01-05",29,36768,37901,33232,2279,6606,349,19180,0,6,908,1500,992,1,-450,-77,1000,1397,0,1421,0
"2025-01-05",30,36895,37992,33291,2372,6606,229,19180,0,6,929,1500,991,0,-450,-41,999,1397,0,1421,0
